identifier,organism,kingdom
P03220,Epstein-Barr virus (strain B95-8),Viruses
Q03572,Caenorhabditis elegans,Metazoa
Q10875,not found,
Q12999,Homo sapiens,Metazoa
P64948,Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97),Bacteria
P15363,Mesomycoplasma hyorhinis,Bacteria
P41672,Autographa californica nuclear polyhedrosis virus,Viruses
P10221,Human herpesvirus 1 (strain 17),Viruses
O31797,Bacillus subtilis (strain 168),Bacteria
P38253,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P39415,Enterobacteria phage T4,Viruses
Q57574,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P40988,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q44777,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
O08976,Mus musculus,Metazoa
Q9VHB6,Drosophila melanogaster,Metazoa
P96051,Streptococcus thermophilus,Bacteria
Q56362,Thiocapsa roseopersicina,Bacteria
P03197,Epstein-Barr virus (strain B95-8),Viruses
P17739,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
Q97JQ5,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W),Bacteria
Q9USZ2,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P25635,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q62277,Mus musculus,Metazoa
O28286,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P53858,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P25711,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
Q33568,Trypanoplasma borreli,Protists
P08105,Ovis aries,Metazoa
Q53868,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P13192,Hordeum vulgare,Viridiplantae
Q8BZQ7,Mus musculus,Metazoa
P12968,Mus musculus,Metazoa
Q9HMP7,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1),Archaea
P64753,not found,
P05946,Astacus leptodactylus,Metazoa
P41397,Klebsiella oxytoca,Bacteria
P21223,not found,
P38008,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),Bacteria
Q9BRB3,Homo sapiens,Metazoa
P51707,Haemophilus phage HP1 (strain HP1c1),Viruses
P92521,Arabidopsis thaliana,Viridiplantae
P09397,Streptomyces griseus,Bacteria
Q7UKZ8,Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1),Bacteria
P36044,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P22760,Homo sapiens,Metazoa
P38890,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P03277,Human adenovirus C serotype 2,Viruses
P25060,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
Q18685,Caenorhabditis elegans,Metazoa
Q57765,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q17388,Caenorhabditis elegans,Metazoa
Q09684,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P53726,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O33683,Rhizobium meliloti (strain 1021),Bacteria
P32678,not found,
P55413,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P34259,Caenorhabditis elegans,Metazoa
Q00121,Ictalurid herpesvirus 1 (strain Auburn),Viruses
Q11103,Caenorhabditis elegans,Metazoa
P0AFN1,Escherichia coli O157:H7,Bacteria
P40028,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P12401,Bos taurus,Metazoa
P63300,Mus musculus,Metazoa
Q9ZDU3,Rickettsia prowazekii (strain Madrid E),Bacteria
P0A599,not found,
P0C0L4,Homo sapiens,Metazoa
P53895,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q49414,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
P21331,Drosophila funebris,Metazoa
Q57556,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O14096,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P30890,Rotavirus B (isolate RVB/Rat/United States/IDIR/1984/G1P[X]),Viruses
P21052,Vaccinia virus (strain Copenhagen),Viruses
P54563,Bacillus subtilis (strain 168),Bacteria
Q60324,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q8WUR7,Homo sapiens,Metazoa
Q8N2C9,Homo sapiens,Metazoa
P03754,Escherichia phage lambda,Viruses
P44076,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
O61365,Drosophila melanogaster,Metazoa
P16192,Influenza B virus (strain B/Hong Kong/8/1973),Viruses
P18148,Escherichia coli (strain K12),Bacteria
P49415,Drosophila melanogaster,Metazoa
Q39233,Arabidopsis thaliana,Viridiplantae
Q9ZDL0,Rickettsia prowazekii (strain Madrid E),Bacteria
P39416,Enterobacteria phage T4,Viruses
O28251,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P49125,Latrodectus tredecimguttatus,Metazoa
P56728,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),Bacteria
Q05223,Mycobacterium phage L5,Viruses
P09181,Escherichia coli,Bacteria
Q09303,Caenorhabditis elegans,Metazoa
P14109,Salmonella phage P22,Viruses
P37874,Bacillus subtilis (strain 168),Bacteria
P16569,Microchaete diplosiphon,Bacteria
P47121,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P47092,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P08344,Bos taurus papillomavirus 4,Viruses
P20564,Vaccinia virus (strain Copenhagen),Viruses
O29292,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
O83701,Treponema pallidum (strain Nichols),Bacteria
P32787,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9MUL6,Mesostigma viride,Viridiplantae
O28773,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q57966,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O05396,Bacillus subtilis (strain 168),Bacteria
P53245,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q05370,Synechococcus sp. (strain PCC 6716),Bacteria
Q18726,Caenorhabditis elegans,Metazoa
P0A3K0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Bacteria
Q10363,not found,
P40222,Homo sapiens,Metazoa
Q34879,Lemur catta,Metazoa
P54486,Bacillus subtilis (strain 168),Bacteria
Q55143,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P40497,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P45570,Escherichia coli (strain K12),Bacteria
P31502,Mycobacterium intracellulare,Bacteria
P23692,Human adenovirus F serotype 41,Viruses
P34648,Caenorhabditis elegans,Metazoa
O67201,Aquifex aeolicus (strain VF5),Bacteria
P40310,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P39692,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q8LEF3,Arabidopsis thaliana,Viridiplantae
P27192,Escherichia coli,Bacteria
O32272,Bacillus subtilis (strain 168),Bacteria
P42940,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q58983,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q51480,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
Q60338,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P39255,Enterobacteria phage T4,Viruses
Q07892,Drosophila melanogaster,Metazoa
P53089,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P28848,Myxoma virus (strain Uriarra),Viruses
P19770,Escherichia coli,Bacteria
P69965,Yersinia pestis,Bacteria
Q10663,Caenorhabditis elegans,Metazoa
P36678,Escherichia coli (strain K12),Bacteria
P06018,Escherichia phage Mu,Viruses
Q58485,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q57935,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
O67771,Aquifex aeolicus (strain VF5),Bacteria
P05531,Mus musculus,Metazoa
P13081,Klebsiella pneumoniae,Bacteria
Q51485,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
Q8WXW3,Homo sapiens,Metazoa
Q05282,Mycobacterium phage L5,Viruses
Q9P6S0,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
O67702,Aquifex aeolicus (strain VF5),Bacteria
P43941,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q95242,Sus scrofa,Metazoa
Q57852,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P54910,Rhizobium radiobacter,Bacteria
P38813,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P38305,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P16689,Escherichia coli (strain K12),Bacteria
P40523,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q821Z3,Chlamydia caviae (strain ATCC VR-813 / DSM 19441 / 03DC25 / GPIC),Bacteria
P20549,Vaccinia virus (strain Copenhagen),Viruses
Q8TVA7,Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938),Archaea
Q50782,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),Archaea
Q9H5N1,Homo sapiens,Metazoa
P16804,Human cytomegalovirus (strain AD169),Viruses
P40948,Bacillus subtilis (strain 168),Bacteria
P44181,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9S1E6,Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / CCUG 13145 / JCM 31913 / LMG 7466 / NCTC 11488 / FDC 602W),Bacteria
Q87KD8,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),Bacteria
P37711,Enterococcus faecium,Bacteria
Q49988,Mycobacterium leprae (strain TN),Bacteria
P19285,Thermoproteus tenax virus 1 (strain KRA1),Viruses
Q9CBW3,Mycobacterium leprae (strain TN),Bacteria
P43041,Mycoplasma capricolum subsp. capricolum (strain California kid / ATCC 27343 / NCTC 10154),Bacteria
P42377,Lactococcus lactis subsp. cremoris (strain MG1363),Bacteria
Q9Z2P3,Rattus norvegicus,Metazoa
P12792,Sandfly fever sicilian virus,Viruses
P55378,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
Q98R58,Mycoplasmopsis pulmonis (strain UAB CTIP),Bacteria
Q05490,Burkholderia plantarii,Bacteria
O05519,Bacillus subtilis (strain 168),Bacteria
Q9YER5,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),Archaea
P54796,Klebsiella aerogenes,Bacteria
Q9NR63,Homo sapiens,Metazoa
Q8BHL5,Mus musculus,Metazoa
P01347,Rattus norvegicus,Metazoa
Q9Y4A0,Homo sapiens,Metazoa
Q58737,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P20543,Vaccinia virus (strain Copenhagen),Viruses
Q7XAD0,Solanum lycopersicum,Viridiplantae
O83593,Treponema pallidum (strain Nichols),Bacteria
Q9Y6C7,Homo sapiens,Metazoa
P0A234,Salmonella typhi,Bacteria
Q28065,Bos taurus,Metazoa
P18471,Escherichia coli (strain K12),Bacteria
P75175,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
O66765,Aquifex aeolicus (strain VF5),Bacteria
P73246,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P56607,Pseudoalteromonas haloplanktis,Bacteria
P56749,Homo sapiens,Metazoa
Q9BWW9,Homo sapiens,Metazoa
O51112,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
Q52997,Rhizobium meliloti (strain 1021),Bacteria
Q50533,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),Archaea
O83467,Treponema pallidum (strain Nichols),Bacteria
P29933,Sinorhizobium sp,Bacteria
Q08456,Salmonella typhi,Bacteria
P45551,Escherichia coli (strain K12),Bacteria
O28420,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q9KTQ4,not found,
P33296,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P06279,Geobacillus stearothermophilus,Bacteria
Q57915,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q96N03,Homo sapiens,Metazoa
P34226,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O13767,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P17651,Enterobacteria phage phi80,Viruses
Q10365,not found,
P0AFJ0,Escherichia coli O157:H7,Bacteria
P76501,Escherichia coli (strain K12),Bacteria
O31663,Bacillus subtilis (strain 168),Bacteria
O94245,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q98H64,Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099),Bacteria
P08161,Autographa californica nuclear polyhedrosis virus,Viruses
Q9BXK5,Homo sapiens,Metazoa
Q8GR90,Streptomyces cinnamoneus,Bacteria
P54588,Bacillus subtilis (strain 168),Bacteria
P41847,Caenorhabditis elegans,Metazoa
P68592,Vaccinia virus (strain Copenhagen),Viruses
P15489,Giardia intestinalis,Protists
O95295,Homo sapiens,Metazoa
Q50723,not found,
Q09457,Caenorhabditis elegans,Metazoa
P23461,Rhodobacter capsulatus,Bacteria
O66960,Aquifex aeolicus (strain VF5),Bacteria
P17368,Vaccinia virus (strain Western Reserve),Viruses
P62017,Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7),Archaea
Q03508,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P34444,Caenorhabditis elegans,Metazoa
Q9Z521,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P54159,Bacillus subtilis (strain 168),Bacteria
P55583,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P38290,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9JIK1,Rattus norvegicus,Metazoa
P39605,Bacillus subtilis (strain 168),Bacteria
P39426,Enterobacteria phage T4,Viruses
P36299,Canine coronavirus (strain Insavc-1),Viruses
O75132,Homo sapiens,Metazoa
O66830,Aquifex aeolicus (strain VF5),Bacteria
P16148,Lupinus polyphyllus,Viridiplantae
Q21735,Caenorhabditis elegans,Metazoa
O29831,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q58955,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q58478,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P76049,Escherichia coli (strain K12),Bacteria
P42964,Bacillus subtilis (strain 168),Bacteria
P42842,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P50325,Amylomyces rouxii,Fungi
P54511,Bacillus subtilis (strain 168),Bacteria
P44190,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9EXD1,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
P03735,Escherichia phage lambda,Viruses
P69830,Escherichia coli O157:H7,Bacteria
Q03100,Dictyostelium discoideum,Protists
O28160,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P64618,Escherichia coli O157:H7,Bacteria
Q92JK0,Rickettsia conorii (strain ATCC VR-613 / Malish 7),Bacteria
P38096,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),Fungi
P45367,Thiocystis violacea,Bacteria
Q57646,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9UK96,Homo sapiens,Metazoa
P19881,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O04006,Brassica campestris,Viridiplantae
P55554,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
O28269,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q00136,Ictalurid herpesvirus 1 (strain Auburn),Viruses
Q9BRK5,Homo sapiens,Metazoa
P04982,Escherichia coli (strain K12),Bacteria
Q09318,Caenorhabditis elegans,Metazoa
P20949,Trypanosoma congolense,Protists
P11117,Homo sapiens,Metazoa
P22026,Uukuniemi virus (strain S23),Viruses
Q10260,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q37374,Acanthamoeba castellanii,Protists
P38315,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P13440,Leptospira biflexa,Bacteria
P44064,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9ZCW9,Rickettsia prowazekii (strain Madrid E),Bacteria
P45207,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P38698,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9ZJ29,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
P04531,Enterobacteria phage T4,Viruses
Q8U705,Agrobacterium fabrum (strain C58 / ATCC 33970),Bacteria
Q15127,Homo sapiens,Metazoa
Q01821,Loligo forbesii,Metazoa
Q97JN9,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W),Bacteria
Q9XD50,Vitreoscilla sp. (strain C1),Bacteria
Q09700,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P39419,Enterobacteria phage T4,Viruses
Q10689,not found,
Q99KC8,Mus musculus,Metazoa
Q9Z0X2,Rattus norvegicus,Metazoa
Q7M1E7,Chamaecyparis obtusa,Viridiplantae
Q57240,Mycobacterium leprae (strain TN),Bacteria
P43975,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P37530,Bacillus subtilis (strain 168),Bacteria
P09676,Enterobacteria phage SP,Viruses
O43037,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P03213,Epstein-Barr virus (strain B95-8),Viruses
Q57776,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P19060,Enterobacteria phage T4,Viruses
P24001,Homo sapiens,Metazoa
O66427,Aquifex aeolicus (strain VF5),Bacteria
P35823,Aeromonas salmonicida,Bacteria
Q9P2W6,Homo sapiens,Metazoa
P07277,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P14706,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
Q09621,Caenorhabditis elegans,Metazoa
P47362,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
P77136,Escherichia coli (strain K12),Bacteria
P06925,Odocoileus virginianus papillomavirus 1,Viruses
Q9PJK8,Chlamydia muridarum (strain MoPn / Nigg),Bacteria
Q9P2G4,Homo sapiens,Metazoa
O28092,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P15894,Spiroplasma virus SpV1-R8A2 B,Viruses
O14009,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P16723,Human cytomegalovirus (strain AD169),Viruses
P41567,Homo sapiens,Metazoa
P93284,Arabidopsis thaliana,Viridiplantae
Q56562,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
Q58553,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q05605,Pseudomonas putida,Bacteria
P54089,Chicken anemia virus (isolate USA 26p4),Viruses
P23645,Drosophila melanogaster,Metazoa
Q03961,Escherichia coli,Bacteria
P65023,not found,
P40985,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P10480,Aeromonas hydrophila,Bacteria
P0AD55,Escherichia coli O157:H7,Bacteria
Q9VNB3,Drosophila melanogaster,Metazoa
Q9Z8A0,Chlamydia pneumoniae,Bacteria
P44280,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P31877,Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / CCUG 13145 / JCM 31913 / LMG 7466 / NCTC 11488 / FDC 602W),Bacteria
P0ADK7,Escherichia coli O157:H7,Bacteria
Q9ZDB2,Rickettsia prowazekii (strain Madrid E),Bacteria
O83586,Treponema pallidum (strain Nichols),Bacteria
Q9PQZ2,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
P55387,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P15895,Spiroplasma virus SpV1-R8A2 B,Viruses
P19287,Thermoproteus tenax virus 1 (strain KRA1),Viruses
Q9MAG6,not found,
P37627,Escherichia coli (strain K12),Bacteria
Q9YAA0,Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1),Archaea
Q9R9R6,Aeromonas caviae,Bacteria
P54177,Bacillus subtilis (strain 168),Bacteria
P42408,Bacillus subtilis (strain 168),Bacteria
P47174,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P41432,Autographa californica nuclear polyhedrosis virus,Viruses
P45828,Mycobacterium leprae (strain TN),Bacteria
P23839,Escherichia coli (strain K12),Bacteria
Q926A7,Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262),Bacteria
O14017,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P21339,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P12342,Bos taurus,Metazoa
P10027,Escherichia coli,Bacteria
P32151,Escherichia coli (strain K12),Bacteria
Q06423,Escherichia phage P2,Viruses
Q978N2,Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1),Archaea
Q9Y6R4,Homo sapiens,Metazoa
Q07152,Drosophila melanogaster,Metazoa
Q9NX36,Homo sapiens,Metazoa
Q8TUS7,Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938),Archaea
P30628,Caenorhabditis elegans,Metazoa
Q8TJT3,Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A),Archaea
P38296,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P58034,Escherichia coli (strain K12),Bacteria
O05977,Rickettsia prowazekii (strain Madrid E),Bacteria
P92540,Arabidopsis thaliana,Viridiplantae
Q89AY1,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
P89113,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P43935,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P64462,Escherichia coli O157:H7,Bacteria
P55147,Dolichospermum flosaquae,Bacteria
P67157,not found,
P52520,Human herpesvirus 7 (strain JI),Viruses
P74373,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P42411,Bacillus subtilis (strain 168),Bacteria
P41843,Caenorhabditis elegans,Metazoa
O28150,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P35841,Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough),Bacteria
P72929,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P38285,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P57718,Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165),Archaea
P64379,Staphylococcus aureus (strain Mu50 / ATCC 700699),Bacteria
P33948,Plasmodium falciparum,Protists
O51093,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
P68587,Yersinia pestis,Bacteria
P77598,Escherichia coli (strain K12),Bacteria
Q40392,Nicotiana glutinosa,Viridiplantae
P16757,Human cytomegalovirus (strain AD169),Viruses
O27941,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q08592,not found,
O29848,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
O31216,Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D),Bacteria
Q00855,Dermatophagoides farinae,Metazoa
P54005,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P20845,Priestia megaterium,Bacteria
Q9UKR8,Homo sapiens,Metazoa
Q50418,Methylobacillus flagellatus (strain ATCC 51484 / DSM 6875 / VKM B-1610 / KT),Bacteria
P55440,Sinorhizobium fredii (strain NBRC 101917 / NGR234),Bacteria
P64701,not found,
O28280,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q9S3V0,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757),Bacteria
P34289,Caenorhabditis elegans,Metazoa
P40809,Drosophila melanogaster,Metazoa
P70795,Agrobacterium vitis,Bacteria
P77657,Escherichia coli (strain K12),Bacteria
Q25297,Leishmania infantum,Protists
P38582,Carnobacterium maltaromaticum,Bacteria
P47062,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q8TSV8,Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A),Archaea
Q09150,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q00750,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),Bacteria
P16756,Human cytomegalovirus (strain AD169),Viruses
